Claim_ID,Age,Gender,Policy_Type,Vehicle_Type,Accident_Type,Annual_Premium,Claim_Amount,Police_Report,Witness_Present,Past_Claims,Days_To_Claim,Incident_Location,Claim_Status
52737,62,Male,Basic,Hatchback,Total Loss,18659,541486,Yes,No,2,4,Urban,0
54780,18,Male,Premium,Truck,Minor,77745,160786,No,No,5,40,Rural,0
52366,45,Male,Basic,Truck,Total Loss,78989,573160,Yes,No,5,21,Urban,0
55607,30,Female,Premium,SUV,Major,62574,420964,Yes,No,2,35,Rural,0
53330,61,Female,Premium,Truck,Total Loss,33564,521902,No,No,2,13,Urban,0
52914,56,Female,Premium,Hatchback,Minor,17120,307567,Yes,No,3,59,Urban,0
51313,32,Male,Basic,Truck,Major,65138,66434,No,Yes,1,52,Rural,0
54771,71,Female,Premium,SUV,Minor,81234,106105,No,No,2,53,Rural,0
56661,63,Female,Premium,SUV,Minor,20749,426934,No,No,3,14,Urban,0
56259,47,Male,Basic,Hatchback,Total Loss,30188,180383,Yes,Yes,5,43,Rural,0
50893,39,Female,Gold,Hatchback,Major,22051,364404,No,No,3,22,Rural,0
53132,55,Male,Premium,SUV,Major,58642,483592,No,Yes,4,7,Urban,0
50793,66,Female,Premium,Truck,Major,39680,181565,No,Yes,1,30,Urban,0
53699,68,Female,Gold,Hatchback,Minor,42076,17193,No,Yes,1,2,Rural,0
52103,31,Male,Basic,Hatchback,Minor,63637,307567,No,No,3,24,Urban,0
50218,25,Male,Premium,Truck,Major,50084,128688,Yes,Yes,5,13,Urban,0
53715,32,Male,Basic,Sedan,Total Loss,16471,188714,Yes,Yes,5,40,Urban,0
57498,63,Male,Basic,Truck,Total Loss,28488,159114,No,Yes,4,22,Rural,0
53575,73,Female,Basic,Truck,Minor,19887,348016,Yes,Yes,3,13,Rural,0
51687,70,Male,Premium,Truck,Total Loss,27470,162798,Yes,Yes,1,46,Rural,0
51056,64,Male,Gold,Hatchback,Minor,39744,170521,No,No,0,42,Rural,0
52992,48,Female,Premium,Hatchback,Total Loss,87277,497511,No,No,2,38,Urban,0
56229,28,Female,Premium,SUV,Major,23541,117409,No,Yes,2,45,Urban,0
56971,58,Female,Premium,Hatchback,Minor,59765,307567,Yes,No,5,16,Rural,0
57493,29,Female,Gold,Sedan,Total Loss,18470,80877,No,No,4,31,Rural,0
53393,71,Female,Gold,Sedan,Major,52464,234666,No,Yes,0,50,Rural,0
52102,67,Female,Gold,Sedan,Total Loss,40354,181389,No,No,5,31,Rural,0
54767,64,Female,Premium,Truck,Minor,44407,307567,Yes,No,0,48,Urban,0
50422,48,Male,Gold,Sedan,Major,41451,478024,No,No,5,42,Rural,0
54004,68,Female,Basic,Sedan,Total Loss,63429,113873,Yes,Yes,2,5,Rural,0
57550,73,Male,Basic,Sedan,Minor,57406,85986,No,No,2,44,Urban,0
52821,59,Male,Premium,Hatchback,Total Loss,71228,503154,Yes,No,4,27,Rural,0
51455,71,Male,Premium,Hatchback,Total Loss,52464,240982,Yes,No,2,1,Urban,0
56062,72,Male,Gold,SUV,Major,21997,401855,Yes,Yes,3,43,Urban,0
57611,52,Male,Basic,Sedan,Minor,31854,307670,No,No,3,2,Rural,0
55130,54,Female,Basic,Sedan,Minor,22692,31510,No,Yes,5,6,Urban,0
55919,59,Male,Gold,Sedan,Minor,40456,564906,Yes,Yes,2,32,Rural,0
51728,57,Female,Gold,SUV,Minor,49032,535893,Yes,Yes,3,39,Rural,0
50395,47,Female,Premium,Hatchback,Minor,66178,13299,No,Yes,0,32,Rural,0
