policy_id,age,gender,marital_status,education,occupation,region,driving_experience_years,previous_accidents,traffic_violations,vehicle_year,vehicle_age,vehicle_make,vehicle_type,fuel_type,annual_mileage,engine_cc,coverage_type,annual_premium,deductible,policy_duration_years,multi_policy,credit_score,annual_income,num_dependents,claim_filed
1,58,Male,Single,Master,Self-Employed,Urban,39,1,1,2022,2,Honda,Coupe,Hybrid,6041,1000,Basic,928.18,2000,1,0,729,72787,1,1
2,66,Male,Widowed,Master,Retired,Urban,47,3,0,2007,17,Volkswagen,Sedan,Electric,32770,1500,Standard,2479.25,1500,9,0,687,35656,2,0
3,57,Female,Married,High School,Employed,Rural,38,1,5,2012,12,Honda,Pickup,Electric,19857,2000,Standard,739.17,1000,4,1,373,174680,2,1
4,47,Female,Divorced,None,Self-Employed,Rural,27,2,1,2012,12,Toyota,Hatchback,Hybrid,13773,1000,Comprehensive,2666.19,1000,4,1,705,183519,1,1
5,53,Female,Widowed,None,Student,Suburban,34,4,0,2020,4,Honda,Sedan,Petrol,10008,2000,Comprehensive,1439.83,250,7,1,779,153704,0,0
6,18,Male,Divorced,Master,Employed,Suburban,0,0,0,2013,11,Nissan,SUV,Petrol,33525,2000,Comprehensive,1670.69,500,3,1,465,156394,4,0
7,18,Female,Widowed,High School,Employed,Suburban,0,0,0,2023,1,Honda,Sedan,Hybrid,31739,1000,Comprehensive,2367.75,500,11,1,469,84483,2,0
8,31,Male,Divorced,PhD,Retired,Suburban,9,0,0,2007,17,Hyundai,Sedan,Diesel,24282,1500,Basic,2211.17,250,4,0,332,101619,0,1
9,31,Male,Widowed,Bachelor,Student,Suburban,12,0,1,2016,8,Volkswagen,Pickup,Hybrid,33306,2000,Comprehensive,2064.33,250,1,1,647,43644,0,1
10,45,Male,Divorced,PhD,Self-Employed,Urban,24,2,2,2008,16,Toyota,Minivan,Petrol,8056,3000,Basic,749.04,1500,8,0,710,30370,0,1
11,68,Female,Divorced,PhD,Unemployed,Rural,45,0,0,2011,13,Toyota,Coupe,Petrol,29509,1500,Basic,1877.28,2000,15,0,358,148124,0,1
12,61,Male,Widowed,High School,Unemployed,Urban,39,1,1,2018,6,Audi,Coupe,Electric,13544,1500,Comprehensive,1148.3,1000,7,0,607,134858,1,0
13,22,Male,Widowed,None,Unemployed,Urban,4,0,1,2009,15,Hyundai,Sedan,Diesel,17108,1500,Standard,2551.11,1000,10,0,606,188903,0,0
14,34,Male,Single,None,Self-Employed,Suburban,14,1,1,2011,13,Mercedes,Coupe,Hybrid,13228,3000,Basic,549.21,1500,14,1,345,15929,1,1
15,28,Female,Widowed,None,Employed,Urban,10,3,1,2009,15,Nissan,Sedan,Electric,24087,1800,Standard,644.1,1000,6,0,666,70070,2,0
16,40,Female,Married,Bachelor,Self-Employed,Urban,19,0,1,2015,9,Volkswagen,Minivan,Diesel,13742,1200,Comprehensive,591.86,250,14,1,527,67316,3,0
17,37,Male,Married,High School,Self-Employed,Suburban,17,0,0,2013,11,Hyundai,Minivan,Hybrid,27266,3500,Comprehensive,1194.1,250,2,1,482,167198,4,1
18,45,Female,Divorced,PhD,Unemployed,Rural,27,0,1,2013,11,Toyota,Minivan,Hybrid,5055,1800,Comprehensive,2154.51,500,6,1,371,189125,4,0
19,60,Male,Divorced,None,Retired,Rural,39,0,1,2022,2,Ford,SUV,Hybrid,26788,3000,Comprehensive,2319.96,500,10,1,715,158638,3,0
20,31,Female,Divorced,PhD,Student,Suburban,8,0,0,2010,14,Honda,Hatchback,Electric,8060,2500,Basic,2116.55,500,13,0,450,21402,0,0
21,57,Male,Widowed,PhD,Unemployed,Urban,34,1,0,2012,12,Ford,Minivan,Petrol,34250,2000,Basic,2401.74,500,3,1,351,161120,0,0
22,47,Male,Widowed,None,Unemployed,Rural,27,3,2,2024,0,Nissan,Pickup,Hybrid,34399,1200,Standard,1515.19,500,14,1,833,142034,2,1
23,36,Male,Divorced,Master,Retired,Rural,18,0,0,2009,15,BMW,Sedan,Hybrid,18356,1500,Standard,1422.59,500,14,1,698,168112,4,1
24,54,Female,Widowed,High School,Retired,Suburban,33,2,3,2018,6,Nissan,Minivan,Diesel,20998,1500,Standard,1611.23,1500,6,1,469,137523,3,0
25,52,Male,Widowed,None,Unemployed,Rural,34,0,0,2019,5,Ford,Sedan,Electric,17422,1500,Standard,1182.48,1500,5,1,558,36471,1,0
26,21,Female,Married,High School,Employed,Urban,2,0,0,2009,15,BMW,SUV,Hybrid,26936,1200,Basic,1555.59,1000,13,1,471,173831,2,0
27,25,Male,Divorced,High School,Unemployed,Urban,5,1,2,2017,7,Volkswagen,Minivan,Diesel,7490,1800,Comprehensive,955.69,1000,14,0,342,106017,2,0
28,22,Female,Single,PhD,Student,Urban,1,3,1,2019,5,Ford,Pickup,Diesel,29045,1800,Comprehensive,1029.22,2000,13,1,776,129183,3,1
29,33,Male,Divorced,PhD,Self-Employed,Suburban,11,1,0,2005,19,Chevrolet,Hatchback,Diesel,20976,1500,Standard,1218.91,2000,12,1,310,150430,4,1
30,49,Male,Widowed,PhD,Student,Urban,31,0,0,2012,12,Mercedes,Minivan,Electric,20507,1800,Standard,1448.86,2000,6,1,764,86019,1,0
31,64,Male,Divorced,High School,Unemployed,Rural,45,0,1,2013,11,Audi,Coupe,Electric,8294,2500,Standard,914.2,500,5,0,846,48182,0,0
32,53,Female,Married,PhD,Employed,Urban,31,0,0,2015,9,Ford,Sedan,Electric,33236,1800,Basic,1381.91,250,10,0,455,54111,3,0
33,23,Male,Single,None,Student,Rural,1,1,0,2021,3,Volkswagen,Pickup,Hybrid,14743,2500,Standard,1124.53,2000,1,0,512,178975,0,0
34,28,Male,Married,None,Employed,Urban,10,0,1,2020,4,Mercedes,Sedan,Diesel,14440,2000,Comprehensive,2620.94,250,11,0,570,178855,2,0
35,30,Female,Single,None,Self-Employed,Rural,11,2,2,2007,17,Toyota,SUV,Electric,24498,2000,Comprehensive,2787.22,1500,2,1,611,198430,1,1
